"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"17","Russell Westbrook","Lac","G","34.5","5","38.5","29.7","16","25","0.88","77","0.429","28","0.357","0.457","0.509","23.6","7.4","7.4","1.2","1.4","4","31","31","38.4","11.3","103.9","109.6"
"18","Desmond Bane","Mem","G","24.9","6","38.6","26.4","12.7","29","0.931","66","0.5","50","0.32","0.491","0.548","23.5","6","3.2","0.5","0","2.8","29.5","26.7","32.7","7.9","106.6","108.2"
"19","Mikal Bridges","Bro","F","26.7","4","39.4","29.7","9.4","23","0.783","52","0.442","25","0.4","0.494","0.539","23.5","5.3","4","0.5","0.5","2","28.8","27.5","32.8","8","106.9","116.8"
"20","Giannis Antetokounmpo","Mil","F","28.4","3","30.5","37.1","20.8","31","0.452","50","0.56","3","0","0.528","0.525","23.3","11","5.3","0.3","0.7","4.7","34.3","28.7","39.7","14.5","99.3","102.5"
"21","Donovan Mitchell","Cle","G","26.7","5","41.3","29.8","15.4","18","0.722","59","0.542","45","0.289","0.495","0.518","23.2","5","7.2","2","0.6","3.8","28.2","30.4","35.4","9.1","101.9","106.5"
"22","Dejounte Murray","Atl","G","26.6","5","38.1","25.3","8.8","9","1","66","0.485","37","0.378","0.515","0.538","23","7.2","6.8","2","0.2","2","30.2","29.8","37","10.9","115.3","114.7"
"23","LeBron James","Lal","F","38.4","11","36.8","27","12.5","52","0.769","125","0.616","77","0.247","0.522","0.558","22.8","10.1","5","0.8","1.3","2.6","32.9","27.8","37.9","11.4","110.8","108.5"
"24","James Harden","Phi","G","33.7","9","38.1","27.3","13.8","48","0.854","85","0.412","71","0.423","0.513","0.567","22.3","6.1","8.3","1.7","0.2","2.8","28.4","30.7","36.8","10.9","116.5","108"
"25","Norman Powell","Lac","G","30","5","33.5","24.5","9.5","31","0.774","44","0.523","32","0.406","0.559","0.608","21.8","3","2.2","0.8","0.4","1.6","24.8","24","27","6.3","118.8","110.4"
"26","Anthony Davis","Lal","F-C","30.2","11","36.7","24.3","13.8","58","0.862","163","0.546","11","0.273","0.537","0.594","21.5","13.5","2.6","1.4","3.4","2.5","35.1","24.2","37.7","9.9","113.8","103"
"27","Darius Garland","Cle","G","23.3","5","37.7","27.2","18.3","25","0.84","49","0.469","31","0.387","0.513","0.566","20.6","1.8","5","1.6","0.2","3.6","22.4","25.6","27.4","6","104.3","106.2"
"28","Tyrese Maxey","Phi","G","22.5","9","37.9","23.9","4.2","20","0.9","90","0.433","70","0.414","0.516","0.542","20.3","5","2","1.3","0.6","0.8","25.3","22.3","27.3","6.2","111.3","109.7"
"29","RJ Barrett","Nyk","F-G","22.9","10","34.5","25.6","12.5","55","0.745","96","0.521","58","0.345","0.519","0.564","20.1","4.7","3","0.9","0.2","2.2","24.8","23.1","27.8","7.6","111.1","111.5"
"30","Klay Thompson","Gol","G","33.3","12","35.9","22.7","11.5","24","0.875","76","0.447","124","0.387","0.53","0.553","19.4","4.3","2","0.6","0.3","2.2","23.7","21.4","25.7","6.1","100.8","113.5"
"31","Brook Lopez","Mil","C","35.1","5","36.3","19.4","14","13","0.769","50","0.64","17","0.412","0.634","0.653","19","6.4","1.2","1.4","1.8","2.2","25.4","20.2","26.6","5.8","119.3","110"
